English,Thai
ordinary,สามัญ
excellent,ยอดเยี่ยม
sorry,ขอโทษ
native,พื้นเมือง
method,กระบวนการ
rock,หิน
confidence,ความมั่นใจ
consider,พิจารณา
tax,ภาษี
dream,ฝัน
peter,ปีเตอร์
mighty,ใหญ่โต
jesus,พระเยซู
grace,เกรซ
heads,หัว
concerning,เกี่ยวกับ
liberty,เสรีภาพ
game,เกม
wine,ไวน์
opposite,ตรงข้าม
sword,ดาบ
distribution,การกระจาย
judge,ผู้พิพากษา
glance,ชำเลือง
greatly,อย่างยิ่ง
iron,เหล็ก
difference,ความแตกต่าง
space,ช่องว่าง
besides,นอกจากนี้
promised,ที่ได้ถูกสัญญา
pure,บริสุทธิ์
isn't,ไม่ได้
gentlemen,สุภาพบุรุษ
Michael,ไมเคิล
prince,เจ้าชาย
page,หน้าหนังสือ
particularly,โดยเฉพาะ
thirty,สามสิบ
additional,เพิ่มเติม
exactly,อย่างแน่นอน
finally,ในที่สุด
anxious,กังวล
clothes,เสื้อผ้า
shook,ส่าย
working,ทำงาน
prove,พิสูจน์
marry,แต่งงาน
file,ไฟล์
evidence,หลักฐาน
captain,กัปตัน
sign,เข้าสู่ระบบ
progress,ความคืบหน้า
glory,ความรุ่งโรจน์
distant,ห่างไกล
possessed,ครอบงำ
serve,ให้บริการ
fancy,ไม่ธรรมดา
obtain,รับ
freely,อย่างอิสระ
lose,สูญเสีย
south,ใต้
sought,แสวง
July,กรกฎาคม
similar,คล้ายกัน
narrow,แคบ
dry,แห้ง
watched,ดู
honor,ให้เกียรติ
search,ค้นหา
yes,ใช่
forgotten,ลืม
anyone,ใครก็ได้
con,ทำ
accept,ยอมรับ
sad,เศร้า
clearly,อย่างชัดเจน
knowing,ที่รู้
Louis,หลุยส์
king's,กษัตริย์
points,จุด
hill,เนินเขา
neck,คอ
hearts,หัวใจ
judgment,การตัดสิน
hall,ห้องโถง
aside,ออกไป
quick,เร็ว
em,em
jack,แจ็ค
honest,ซื่อสัตย์
June,มิถุนายน
lies,โกหก
altogether,โดยสิ้นเชิง
mountain,ภูเขา
agreed,เห็นด้วย
measure,วัด
otherwise,มิฉะนั้น
