English,Thai
holding,การถือครอง
report,รายงาน
fate,โชคชะตา
sick,ป่วย
proud,ภูมิใจ
choose,เลือก
million,ล้าน
a,ให้
rights,สิทธิ
aid,การช่วยเหลือ
amount,จำนวน
bank,ธนาคาร
capital,เงินทุน
royal,พระราช
fully,อย่างเต็มที่
animal,สัตว์
posted,โพสต์
secure,ปลอดภัย
forest,ป่า
stream,ลำธาร
created,สร้าง
coast,ชายฝั่ง
bottom,ล่าง
Washington,วอชิงตัน
succeeded,ที่ประสบความสำเร็จ
bread,ขนมปัง
advance,ก้าวหน้า
claim,เรียกร้อง
delight,ความยินดี
fashion,แฟชั่น
papers,เอกสาร
stage,เวที
desired,ที่ต้องการ
portion,ส่วน
cross,ข้าม
brave,กล้าหาญ
servants,คนรับใช้
expense,ค่าใช้จ่าย
principal,อาจารย์ใหญ่
seek,แสวงหา
ear,หู
creature,สิ่งมีชีวิต
freedom,เสรีภาพ
there's,มี
weather,สภาพอากาศ
surface,พื้นผิว
thick,หนา
carriage,รถม้า
FALSE,เท็จ
rain,ฝน
grow,เติบโต
add,เพิ่ม
don,สวมใส่
tall,สูง
stranger,คนแปลกหน้า
served,ที่เสิร์ฟ
faces,ใบหน้า
comfort,ปลอบโยน
dare,กล้า
necessity,ความจำเป็น
surprised,น่าประหลาดใจ
national,ระดับชาติ
o,o
fingers,นิ้วมือ
check,ตรวจสอบ
shoulders,ไหล่
blow,เป่า
presently,ปัจจุบัน
hung,แขวน
sons,ลูกชาย
throughout,ตลอดทั้ง
gentle,อ่อนโยน
education,การศึกษา
touched,สัมผัส
numerous,มากมาย
robert,โรเบิร์ต
gate,ประตู
immediate,ทันที
wealth,ความมั่งคั่ง
august,สิงหาคม
song,เพลง
practice,ฝึกฝน
group,กลุ่ม
waited,รอ
draw,วาด
style,สไตล์
quietly,อย่างเงียบ ๆ
growing,การเจริญเติบโต
fond,รัก
holy,ศักดิ์สิทธิ์
opening,การเปิด
famous,มีชื่อเสียง
species,สายพันธุ์
grass,หญ้า
active,คล่องแคล่ว
shoulder,ไหล่
consequence,ผลที่ตามมา
breast,หน้าอก
frequently,บ่อย
David,ดาวิด
